name	value
pppa006.compuserve.com	1713
vcc7.langara.bc.ca	8677
pppa006.compuserve.com	1173
thing1.cchem.berkeley.edu	4705
202.236.34.35	18936
bettong.client.uq.oz.au	1687
202.236.34.35	651
202.236.34.35	1204
bettong.client.uq.oz.au	0
bettong.client.uq.oz.au	0
bettong.client.uq.oz.au	3047
hella.stm.it	513911
mtv-pm0-ip4.halcyon.com	4324
ednet1.osl.or.gov	7280
mtv-pm0-ip4.halcyon.com	46573
dd10-046.compuserve.com	10566
ad11-013.compuserve.com	1602
dd10-046.compuserve.com	8083
dd10-046.compuserve.com	1204
dd10-046.compuserve.com	1173
bettong.client.uq.oz.au	9202
bettong.client.uq.oz.au	1165
ncg-72.axionet.com	3381
osc_pc3.79.242.202.in-addr.arpa	8529
mtv-pm0-ip4.halcyon.com	3714
ncg-72.axionet.com	12054
mac19.ils.uec.ac.jp	7280
mac19.ils.uec.ac.jp	5866
osc_pc3.79.242.202.in-addr.arpa	64939
mac19.ils.uec.ac.jp	363
mac19.ils.uec.ac.jp	234
osc_pc3.79.242.202.in-addr.arpa	1224
mtv-pm0-ip4.halcyon.com	13994
mac19.ils.uec.ac.jp	786
mac19.ils.uec.ac.jp	669
dd10-046.compuserve.com	1713
server.indo.net.id	10371
dd08-050.compuserve.com	297851
mtv-pm0-ip4.halcyon.com	5220
mac19.ils.uec.ac.jp	18936
osc_pc3.79.242.202.in-addr.arpa	337360
mac19.ils.uec.ac.jp	651
in2pc2.med.niigata-u.ac.jp	0
in2pc2.med.niigata-u.ac.jp	0
in2pc2.med.niigata-u.ac.jp	0
in2pc2.med.niigata-u.ac.jp	0
in2pc2.med.niigata-u.ac.jp	0
in2pc2.med.niigata-u.ac.jp	0
van13383.direct.ca	9866
van13383.direct.ca	25218
van13383.direct.ca	1414
van13383.direct.ca	4441
mtv-pm0-ip4.halcyon.com	543
c3.reach.net	3714
mtv-pm0-ip4.halcyon.com	786
c3.reach.net	13994
van13383.direct.ca	13372
c3.reach.net	786
van13383.direct.ca	1204
van13383.direct.ca	363
in2pc2.med.niigata-u.ac.jp	4179
dd10-046.compuserve.com	1602
van13383.direct.ca	234
dd10-046.compuserve.com	9630
dd10-046.compuserve.com	786
van13383.direct.ca	669
in2pc2.med.niigata-u.ac.jp	84905
castles10.castles.com	294233
in2pc2.med.niigata-u.ac.jp	1204
in2pc2.med.niigata-u.ac.jp	1713
dd10-046.compuserve.com	8677
dd10-046.compuserve.com	11853
cisco-slip3.acc.virginia.edu	9866
cisco-slip3.acc.virginia.edu	25218
cisco-slip3.acc.virginia.edu	1414
cisco-slip3.acc.virginia.edu	4441
cisco-slip3.acc.virginia.edu	13372
c3.reach.net	42457
cisco-slip3.acc.virginia.edu	1204
in2pc2.med.niigata-u.ac.jp	71654
in2pc2.med.niigata-u.ac.jp	28219
cisco-slip3.acc.virginia.edu	363
in2pc2.med.niigata-u.ac.jp	36902
in2pc2.med.niigata-u.ac.jp	49152
cisco-slip3.acc.virginia.edu	234
cisco-slip3.acc.virginia.edu	669
mtv-pm0-ip4.halcyon.com	71319
204.227.13.21	22096
mac19.ils.uec.ac.jp	1204
204.227.13.21	3635
204.227.13.21	263
dd10-046.compuserve.com	8492
dd10-046.compuserve.com	14176
ppp33.asahi-net.or.jp	57344
mac19.ils.uec.ac.jp	1871
mac19.ils.uec.ac.jp	6588
mac19.ils.uec.ac.jp	3635
mac19.ils.uec.ac.jp	3047
hella.stm.it	0
